hash,author_date
53a14711658b493dc1bfa876e2fbf26e17815b50,2014-10-25 21:56:20-07:00
c5c00c6c16f50f3185afcb8ae4c16791387e4eb2,2014-10-26 16:33:29+00:00
b8eb9fedfdabd8066ed40d35c51a6f4f28cb510c,2014-10-27 14:00:13-07:00
b04c6b85a09bdbab13b82795239feb57c44b1b3e,2014-10-29 09:12:46-07:00
eb885d2f244d9367c7ddd809ad08f0853e4182e7,2014-10-31 20:55:23+00:00
35d618584e423e400636dd31dddbadaaa8f9281b,2014-11-07 09:35:39-08:00
88815ad3c8b9944078f7171855dbdb057b49bbb8,2014-11-07 11:15:18-08:00
cc94aa007d40d380f823f26b6851fad582674f00,2014-11-07 13:40:38-08:00
fc8f28a261fe060afe9d51d83afe45bfd4f19d80,2014-11-07 17:39:04-08:00
01597a5cbda68db769f85c887b0b0dc2952be607,2014-11-10 13:47:00-08:00
7701cab249799b743133be2ef49e963f63d73570,2014-11-10 14:14:01-08:00
bd726ddc0ab45d2f7a45949ab754d61be5df86e2,2014-11-11 13:42:46-08:00
8e4c3762c3a32843421e7bbe19cebf8d66602b9e,2014-11-17 13:02:43-08:00
9ef4fbdaf650a430721d56c5681adacdf82a11d9,2014-11-17 21:55:45-08:00
13fb79cf7ba92683a21115b6fa254e979fcbd9aa,2014-11-18 13:45:42-08:00
1ae5f0ab7c9af9f449a6f8d326480717980a4510,2014-11-18 15:02:52-08:00
7c9566150996147634ecc9c77b4102e8f1e482db,2014-11-19 14:16:13-08:00
74018b52bfe927da8cdf4c6a9be10ab0efe8b9d4,2014-11-19 15:55:55-08:00
fd706f92eadeddae6f5f21b8fd524c5977374d78,2014-11-20 14:45:11-08:00
4562c210bca03c18bc6c8ad11bef7a855d6a2e73,2014-11-20 21:44:37-08:00
41ea65ffa305394d38604e0b69a64a07d9044cd5,2014-11-21 16:58:45-08:00
832fe352b6a8946e95dc8aeaccd0067fb968c212,2014-11-22 16:13:22-08:00
5338ec83384bcdbdf2aa3c3411195e20d405e482,2014-11-23 07:43:05-08:00
a67a1b7255dd4489416cb4edc3295ec44d783a41,2014-11-23 14:29:10-08:00
cd481050495c304d3c35f6024121826b631bb031,2014-11-24 14:29:20-08:00
169a6866768b0e2d8210cabf01e10deed1ecf23c,2014-11-24 21:35:46-08:00
dd44a81aa112017d5a1769a154a6421d2e5ffe47,2014-11-25 08:38:42-08:00
938408ec6a4b7f0d96bd5006aa59c72663b43636,2014-11-25 14:49:49-08:00
858611de683df2594dba01b011c11adb57055b64,2014-11-25 18:09:25-08:00
d093c705ea797d7edce83a7cf6600acfa250f321,2014-11-25 23:00:25-08:00
e470304ed862a6fd98d65c7bc469b0c96fcd9877,2014-11-25 23:16:35-08:00
e60a007ff806cfdd0299b2fcd63e553d1b1ca299,2014-11-26 08:34:29-08:00
58cab7664efe6d2cd4b818c0a3417941adc9e59b,2014-11-27 20:46:42-08:00
7cc448c9ad822d050b1c6e09d9fc4c912e5bd418,2014-11-27 20:57:19-08:00
0a8500ab15386bf00aa0ba48c0190f4ca304e39c,2014-11-28 12:56:41-08:00
338b67ded3d83fd648e1330118d13831e25ab410,2014-11-28 19:47:19-08:00
713f5c6850aa9deda21b5af5eda3c41df797b3ec,2014-11-29 09:58:34-08:00
d8f049928c3e405d78bf6e00984506938b9a2cac,2014-11-29 20:40:09-08:00
