key,priority,created,status,versions
CAMEL-17137,Minor,2021-10-27 09:20:23+00:00,Open,3.11.3
CAMEL-17135,Major,2021-10-26 19:15:18+00:00,Open,3.11.3
CAMEL-17134,Minor,2021-10-26 15:07:40+00:00,Resolved,3.9.0 3.12.0
CAMEL-17132,Minor,2021-10-26 13:13:05+00:00,Closed,3.12.0
CAMEL-17131,Minor,2021-10-26 10:01:47+00:00,Open,3.11.1
CAMEL-17128,Minor,2021-10-26 06:33:52+00:00,Open,3.13.0
CAMEL-17124,Minor,2021-10-25 08:12:16+00:00,Resolved,3.11.3
CAMEL-17118,Minor,2021-10-21 14:01:22+00:00,Open,2.20.4
CAMEL-17115,Major,2021-10-21 04:31:47+00:00,Closed,
CAMEL-17114,Major,2021-10-20 21:54:23+00:00,Resolved,3.11.2
CAMEL-17110,Major,2021-10-20 08:43:29+00:00,Open,3.11.3
CAMEL-17109,Major,2021-10-19 17:08:06+00:00,Resolved,3.12.0
CAMEL-17107,Minor,2021-10-19 14:47:13+00:00,Resolved,3.11.3
CAMEL-17106,Major,2021-10-19 09:28:45+00:00,Resolved,3.12.0
CAMEL-17105,Major,2021-10-18 20:58:06+00:00,Resolved,3.11.3 3.12.0
CAMEL-17100,Major,2021-10-18 11:25:29+00:00,Open,3.11.3 3.12.0
CAMEL-17095,Major,2021-10-17 12:00:42+00:00,Resolved,3.11.3 3.12.0
CAMEL-17090,Major,2021-10-15 15:38:52+00:00,Resolved,3.x
CAMEL-17075,Major,2021-10-13 11:43:44+00:00,Resolved,3.11.2
CAMEL-17074,Major,2021-10-13 10:38:45+00:00,Resolved,
CAMEL-17073,Major,2021-10-13 10:20:59+00:00,Resolved,3.7.6 3.11.3 3.12.0
CAMEL-17068,Minor,2021-10-11 21:56:59+00:00,Resolved,3.x
CAMEL-17067,Minor,2021-10-11 16:03:39+00:00,Resolved,3.11.1 3.11.2 3.11.0
CAMEL-17065,Minor,2021-10-11 14:24:03+00:00,Resolved,3.x
CAMEL-17060,Major,2021-10-09 15:42:01+00:00,Resolved,3.12.0
CAMEL-17055,Minor,2021-10-09 05:57:32+00:00,Resolved,3.12.0
CAMEL-17050,Major,2021-10-07 12:50:57+00:00,Resolved,2.4.0 3.4.6 3.7.2 3.11.0
CAMEL-17049,Minor,2021-10-07 08:30:32+00:00,Resolved,3.11.1 3.11.2 3.11.0
CAMEL-17048,Minor,2021-10-07 07:20:53+00:00,Resolved,3.12.0
CAMEL-17046,Minor,2021-10-06 11:57:40+00:00,Resolved,3.11.1 3.11.2 3.11.0
CAMEL-17043,Minor,2021-10-05 06:41:36+00:00,Resolved,3.11.1 3.11.2 3.11.0
CAMEL-17039,Major,2021-10-04 11:08:42+00:00,Resolved,
CAMEL-17034,Major,2021-10-01 16:45:37+00:00,Resolved,3.11.2
CAMEL-17018,Major,2021-09-29 16:13:55+00:00,Resolved,3.12.0
CAMEL-17017,Minor,2021-09-29 12:37:12+00:00,Resolved,3.11.2 3.12.0
CAMEL-17016,Major,2021-09-29 11:40:05+00:00,Resolved,3.12.0
CAMEL-17015,Minor,2021-09-29 07:40:18+00:00,Resolved,3.11.2
CAMEL-17012,Minor,2021-09-28 11:11:16+00:00,Resolved,3.12.0
CAMEL-17011,Major,2021-09-28 10:08:02+00:00,Resolved,
CAMEL-17009,Minor,2021-09-27 19:49:20+00:00,Open,3.11.0
CAMEL-17008,Minor,2021-09-27 10:19:36+00:00,Resolved,3.11.2
CAMEL-17007,Minor,2021-09-27 10:01:41+00:00,Resolved,3.11.0
CAMEL-17004,Major,2021-09-26 15:31:27+00:00,Resolved,3.7.0
CAMEL-17001,Major,2021-09-24 10:27:33+00:00,Resolved,3.0.0
CAMEL-16997,Major,2021-09-23 07:48:29+00:00,Resolved,3.11.1
CAMEL-16990,Major,2021-09-21 13:26:40+00:00,Resolved,3.11.2
CAMEL-16985,Major,2021-09-18 01:59:04+00:00,Closed,3.11.1
CAMEL-16984,Major,2021-09-17 18:32:41+00:00,Closed,2.22.5
CAMEL-16978,Major,2021-09-15 14:37:18+00:00,Open,
CAMEL-16973,Major,2021-09-15 05:23:09+00:00,Resolved,
CAMEL-16957,Major,2021-09-14 12:28:19+00:00,Resolved,3.11.0
CAMEL-16948,Major,2021-09-13 08:58:13+00:00,Resolved,3.11.0
CAMEL-16942,Minor,2021-09-10 14:34:46+00:00,Resolved,3.11.1
CAMEL-16938,Major,2021-09-09 10:25:35+00:00,Resolved,3.11.0
CAMEL-16936,Major,2021-09-09 08:57:33+00:00,Resolved,3.11.0
CAMEL-16934,Minor,2021-09-09 07:41:04+00:00,Resolved,
CAMEL-16932,Minor,2021-09-08 18:02:18+00:00,Resolved,3.11.0
CAMEL-16927,Major,2021-09-06 18:15:04+00:00,Resolved,3.7.5 3.7.2
CAMEL-16925,Minor,2021-09-06 09:18:49+00:00,Resolved,3.5.0 3.11.0
CAMEL-16924,Major,2021-09-06 07:04:09+00:00,Resolved,3.11.1 3.11.0
CAMEL-16923,Major,2021-09-03 14:54:49+00:00,Resolved,
CAMEL-16922,Minor,2021-09-03 14:29:39+00:00,Resolved,3.11.1
CAMEL-16921,Minor,2021-09-03 12:34:18+00:00,Resolved,
CAMEL-16920,Minor,2021-09-03 10:31:38+00:00,Resolved,3.11.0
CAMEL-16918,Major,2021-09-03 07:37:22+00:00,Resolved,3.11.1
CAMEL-16917,Major,2021-09-02 19:46:38+00:00,Resolved,
CAMEL-16916,Major,2021-09-02 12:01:39+00:00,Resolved,3.11.1
CAMEL-16906,Major,2021-08-31 13:23:31+00:00,In Progress,3.11.1 3.12.0
CAMEL-16904,Major,2021-08-31 08:58:58+00:00,Resolved,3.11.1 3.11.0
CAMEL-16903,Minor,2021-08-31 08:57:47+00:00,Resolved,2.16.3
CAMEL-16902,Major,2021-08-30 20:33:00+00:00,Resolved,3.11.0
CAMEL-16901,Major,2021-08-30 19:50:02+00:00,Resolved,3.7.5
CAMEL-16896,Major,2021-08-26 20:57:59+00:00,Resolved,3.7.5 3.11.0
CAMEL-16895,Minor,2021-08-26 16:49:13+00:00,Resolved,3.11.0
CAMEL-16893,Major,2021-08-26 10:56:28+00:00,Resolved,
CAMEL-16892,Major,2021-08-26 05:46:36+00:00,Resolved,
CAMEL-16878,Major,2021-08-19 15:50:47+00:00,Resolved,
CAMEL-16877,Major,2021-08-19 15:12:07+00:00,Resolved,3.11.1
CAMEL-16874,Minor,2021-08-19 10:09:13+00:00,Resolved,3.7.5 3.11.0
CAMEL-16865,Major,2021-08-16 06:55:35+00:00,Resolved,3.11.1
CAMEL-16863,Minor,2021-08-13 07:46:11+00:00,Resolved,3.11.1
CAMEL-16862,Major,2021-08-11 16:52:03+00:00,Closed,3.11.1 3.11.0
CAMEL-16859,Major,2021-08-10 12:19:48+00:00,Resolved,3.11.0
CAMEL-16857,Major,2021-08-09 09:15:44+00:00,Resolved,3.11.1
CAMEL-16853,Major,2021-08-06 16:31:33+00:00,Resolved,
CAMEL-16850,Major,2021-08-05 09:27:53+00:00,Resolved,3.11.0
CAMEL-16846,Major,2021-08-04 12:16:34+00:00,Resolved,3.12.0
CAMEL-16843,Major,2021-08-04 07:08:49+00:00,Resolved,3.12.0
CAMEL-16841,Major,2021-08-03 13:49:42+00:00,Resolved,3.12.0
CAMEL-16836,Major,2021-08-03 07:11:17+00:00,Resolved,
CAMEL-16835,Major,2021-08-03 07:00:49+00:00,Resolved,
CAMEL-16832,Major,2021-08-02 10:51:35+00:00,Resolved,3.11.0
CAMEL-16829,Major,2021-07-29 11:22:51+00:00,Open,3.11.0
CAMEL-16821,Major,2021-07-27 12:23:42+00:00,Resolved,3.11.0
CAMEL-16820,Major,2021-07-27 12:15:16+00:00,Resolved,3.11.0
CAMEL-16818,Minor,2021-07-26 14:55:02+00:00,Resolved,3.11.0
CAMEL-16815,Minor,2021-07-22 10:10:41+00:00,Resolved,
CAMEL-16812,Minor,2021-07-20 15:56:27+00:00,Resolved,2.25.4
CAMEL-16811,Minor,2021-07-19 20:08:41+00:00,Resolved,3.8.0
CAMEL-16808,Minor,2021-07-16 09:11:05+00:00,Open,3.11.0
CAMEL-16807,Major,2021-07-15 16:03:56+00:00,Resolved,3.8.0
CAMEL-16806,Major,2021-07-15 14:55:08+00:00,Resolved,3.7.5 3.11.0
CAMEL-16804,Minor,2021-07-15 09:05:36+00:00,Resolved,3.11.0
CAMEL-16802,Major,2021-07-12 15:40:22+00:00,Resolved,3.11.0
CAMEL-16801,Major,2021-07-12 08:50:57+00:00,Closed,3.11.0
CAMEL-16796,Major,2021-07-08 14:29:01+00:00,Resolved,3.11.0
CAMEL-16795,Minor,2021-07-08 13:12:10+00:00,Resolved,3.11.0
CAMEL-16794,Major,2021-07-08 10:36:02+00:00,Resolved,3.8.0 3.11.0
CAMEL-16793,Major,2021-07-08 08:03:05+00:00,Resolved,2.25.3 3.11.0
CAMEL-16788,Major,2021-07-06 10:25:49+00:00,Resolved,
CAMEL-16782,Major,2021-07-02 05:45:43+00:00,Resolved,3.11.0
CAMEL-16776,Minor,2021-07-01 12:59:04+00:00,Resolved,3.11.0
CAMEL-16775,Major,2021-07-01 12:55:49+00:00,Resolved,3.6.0
CAMEL-16772,Major,2021-06-30 15:52:30+00:00,Resolved,3.10.0 3.11.0
CAMEL-16767,Major,2021-06-29 10:05:30+00:00,Resolved,3.8.0
CAMEL-16764,Major,2021-06-29 07:05:45+00:00,Resolved,3.11.0
CAMEL-16763,Major,2021-06-28 22:03:06+00:00,Resolved,3.8.0
CAMEL-16762,Major,2021-06-28 19:59:56+00:00,Resolved,
CAMEL-16761,Major,2021-06-28 10:26:38+00:00,Closed,3.10.0
CAMEL-16755,Major,2021-06-24 09:36:57+00:00,Resolved,
CAMEL-16754,Minor,2021-06-24 09:16:25+00:00,Resolved,3.9.0 3.10.0
CAMEL-16749,Major,2021-06-23 11:05:04+00:00,Resolved,3.9.0 3.10.0
CAMEL-16741,Major,2021-06-21 13:39:09+00:00,Resolved,
CAMEL-16734,Major,2021-06-18 15:06:00+00:00,Resolved,3.7.4 3.7.2 3.7.3 3.8.0 3.10.0
CAMEL-16729,Major,2021-06-17 00:05:28+00:00,Resolved,
CAMEL-16728,Major,2021-06-16 13:50:41+00:00,Resolved,2.23.2
CAMEL-16725,Major,2021-06-15 11:14:51+00:00,Resolved,3.10.0
CAMEL-16722,Minor,2021-06-14 14:24:37+00:00,Resolved,
CAMEL-16721,Major,2021-06-14 12:58:59+00:00,Resolved,3.10.0
CAMEL-16718,Major,2021-06-12 08:56:43+00:00,Resolved,3.7.4 3.10.0
CAMEL-16716,Major,2021-06-11 14:07:06+00:00,Resolved,3.10.0
CAMEL-16715,Minor,2021-06-11 13:41:49+00:00,Resolved,3.10.0
CAMEL-16712,Major,2021-06-11 07:49:49+00:00,Resolved,3.10.0
CAMEL-16707,Minor,2021-06-10 19:22:53+00:00,Resolved,3.6.0
CAMEL-16705,Minor,2021-06-10 10:57:29+00:00,Resolved,3.7.0 3.8.0 3.9.0 3.10.0
CAMEL-16704,Minor,2021-06-10 09:56:39+00:00,Resolved,2.17.0 2.24.3 3.0.1 3.1.0 3.10.0
CAMEL-16703,Minor,2021-06-10 07:23:26+00:00,Resolved,3.9.0 3.10.0
CAMEL-16701,Trivial,2021-06-09 21:53:55+00:00,Resolved,3.7.3 3.10.0
CAMEL-16699,Major,2021-06-09 11:59:34+00:00,Resolved,3.7.4 3.7.3
CAMEL-16696,Trivial,2021-06-08 07:44:51+00:00,Resolved,
CAMEL-16692,Major,2021-06-07 07:38:08+00:00,Resolved,3.7.3
CAMEL-16688,Minor,2021-06-05 10:09:13+00:00,Resolved,3.10.0
CAMEL-16682,Major,2021-06-03 08:21:02+00:00,Resolved,
CAMEL-16681,Major,2021-06-02 11:45:44+00:00,Resolved,3.10.0
CAMEL-16670,Minor,2021-05-28 19:39:21+00:00,Resolved,3.10.0
CAMEL-16667,Minor,2021-05-27 10:19:13+00:00,Resolved,2.25.1
CAMEL-16665,Minor,2021-05-27 09:56:49+00:00,Resolved,
CAMEL-16662,Major,2021-05-26 17:19:37+00:00,Resolved,3.10.0
CAMEL-16661,Minor,2021-05-26 07:10:26+00:00,Resolved,3.10.0
CAMEL-16659,Major,2021-05-26 05:15:40+00:00,Resolved,3.7.0
CAMEL-16658,Minor,2021-05-25 14:52:32+00:00,Resolved,3.x
CAMEL-16657,Minor,2021-05-25 14:43:51+00:00,Resolved,3.10.0
CAMEL-16655,Major,2021-05-24 16:27:08+00:00,Resolved,
CAMEL-16649,Minor,2021-05-21 17:50:43+00:00,Resolved,3.10.0
CAMEL-16640,Major,2021-05-20 12:01:45+00:00,Resolved,3.10.0
CAMEL-16638,Minor,2021-05-20 08:08:37+00:00,Open,
CAMEL-16634,Minor,2021-05-19 12:43:20+00:00,Resolved,3.9.0
CAMEL-16632,Minor,2021-05-19 10:32:13+00:00,Resolved,3.10.0
CAMEL-16629,Major,2021-05-19 04:53:23+00:00,Resolved,
CAMEL-16622,Minor,2021-05-17 08:30:17+00:00,Resolved,2.25.1
CAMEL-16617,Minor,2021-05-15 10:23:33+00:00,Resolved,3.10.0
CAMEL-16604,Major,2021-05-11 12:14:40+00:00,Resolved,
CAMEL-16594,Major,2021-05-07 13:02:52+00:00,Resolved,
CAMEL-16587,Minor,2021-05-06 11:10:03+00:00,Resolved,3.8.0 3.9.0
CAMEL-16586,Major,2021-05-06 07:40:43+00:00,Resolved,3.7.4 3.9.0
CAMEL-16582,Major,2021-05-05 12:48:15+00:00,Resolved,3.7.4
CAMEL-16581,Major,2021-05-05 11:32:13+00:00,Resolved,3.6.0
CAMEL-16574,Major,2021-05-04 11:35:14+00:00,Resolved,3.7.0 3.7.4 3.7.3 3.9.0
CAMEL-16569,Major,2021-05-02 14:15:31+00:00,Resolved,
