key,priority,created,status,versions
IGNITE-15825,Major,2021-10-26 13:16:00+00:00,Resolved,
IGNITE-15824,Minor,2021-10-26 12:06:59+00:00,Open,
IGNITE-15820,Major,2021-10-25 19:16:32+00:00,Patch Available,2.11
IGNITE-15815,Major,2021-10-25 12:45:40+00:00,Open,
IGNITE-15808,Major,2021-10-25 09:46:41+00:00,Resolved,
IGNITE-15800,Major,2021-10-22 07:00:56+00:00,Patch Available,
IGNITE-15796,Major,2021-10-21 06:12:15+00:00,Open,
IGNITE-15781,Major,2021-10-20 13:24:57+00:00,In Progress,
IGNITE-15780,Major,2021-10-20 11:14:16+00:00,Open,
IGNITE-15779,Blocker,2021-10-20 07:21:22+00:00,Resolved,2.12
IGNITE-15777,Major,2021-10-19 16:36:44+00:00,Resolved,
IGNITE-15769,Blocker,2021-10-18 14:02:31+00:00,Resolved,
IGNITE-15754,Major,2021-10-15 07:13:21+00:00,Patch Available,3.0.0-alpha3
IGNITE-15752,Major,2021-10-14 14:28:10+00:00,Resolved,
IGNITE-15750,Critical,2021-10-14 13:30:03+00:00,Open,2.10 2.11
IGNITE-15748,Minor,2021-10-14 11:29:15+00:00,Open,2.11
IGNITE-15744,Major,2021-10-13 20:08:06+00:00,Patch Available,3.0.0-alpha2
IGNITE-15743,Major,2021-10-13 18:28:47+00:00,Resolved,
IGNITE-15742,Major,2021-10-13 16:53:39+00:00,Open,
IGNITE-15738,Major,2021-10-13 12:23:45+00:00,Resolved,
IGNITE-15737,Major,2021-10-13 11:08:27+00:00,Open,
IGNITE-15734,Major,2021-10-12 19:47:06+00:00,Open,2.11
IGNITE-15733,Major,2021-10-12 16:36:19+00:00,In Progress,2.11
IGNITE-15732,Major,2021-10-12 14:33:14+00:00,Resolved,
IGNITE-15729,Major,2021-10-12 05:18:16+00:00,Open,3.0.0-alpha3
IGNITE-15724,Critical,2021-10-11 13:52:18+00:00,Open,
IGNITE-15723,Major,2021-10-11 12:42:39+00:00,Open,
IGNITE-15720,Critical,2021-10-09 22:09:12+00:00,Resolved,
IGNITE-15719,Blocker,2021-10-08 20:14:34+00:00,Resolved,
IGNITE-15718,Major,2021-10-08 20:14:30+00:00,Open,
IGNITE-15716,Minor,2021-10-08 18:38:20+00:00,Resolved,2.11
IGNITE-15710,Minor,2021-10-07 20:08:12+00:00,Open,2.11
IGNITE-15708,Critical,2021-10-07 16:18:16+00:00,Resolved,
IGNITE-15703,Major,2021-10-07 11:26:04+00:00,Open,2.8
