key,priority,created,status,versions
KAFKA-13409,Major,2021-10-27 14:37:29+00:00,Open,
KAFKA-13407,Critical,2021-10-27 09:41:19+00:00,Open,2.8.0 2.8.1
KAFKA-13406,Major,2021-10-27 07:32:42+00:00,Open,3.0.0
KAFKA-13405,Critical,2021-10-26 15:47:13+00:00,Open,2.8.0 2.7.1
KAFKA-13404,Major,2021-10-26 09:44:09+00:00,Open,2.6.1
KAFKA-13403,Major,2021-10-26 01:29:51+00:00,Open,2.4.1
KAFKA-13402,Trivial,2021-10-25 19:20:47+00:00,Open,2.8.0 2.8.1
KAFKA-13400,Major,2021-10-25 16:21:05+00:00,Open,2.8.1
KAFKA-13397,Minor,2021-10-24 11:21:29+00:00,In Progress,
KAFKA-13396,Major,2021-10-23 13:11:05+00:00,Patch Available,3.0.0
KAFKA-13394,Blocker,2021-10-22 18:49:32+00:00,Open,3.1.0
KAFKA-13393,Trivial,2021-10-21 21:29:18+00:00,Open,3.0.0
KAFKA-13392,Minor,2021-10-21 10:53:37+00:00,Open,2.8.0
KAFKA-13391,Major,2021-10-21 09:40:08+00:00,Resolved,3.0.0
KAFKA-13390,Minor,2021-10-21 09:20:34+00:00,Resolved,3.0.0
KAFKA-13389,Major,2021-10-21 06:26:52+00:00,Open,2.8.0
KAFKA-13388,Minor,2021-10-20 21:27:07+00:00,Open,
KAFKA-13386,Major,2021-10-20 05:00:11+00:00,Open,2.6.2
KAFKA-13385,Major,2021-10-19 16:22:20+00:00,Open,
KAFKA-13384,Major,2021-10-19 13:39:03+00:00,Open,2.6.2
KAFKA-13380,Major,2021-10-15 10:51:31+00:00,Open,
KAFKA-13379,Major,2021-10-15 10:51:20+00:00,Open,
KAFKA-13378,Major,2021-10-14 19:31:55+00:00,Open,3.0.0
KAFKA-13376,Minor,2021-10-14 09:41:53+00:00,Open,
KAFKA-13375,Major,2021-10-14 07:42:01+00:00,Open,2.8.0
KAFKA-13374,Trivial,2021-10-13 14:50:05+00:00,Patch Available,
KAFKA-13373,Minor,2021-10-13 13:50:41+00:00,Open,2.8.0
KAFKA-13372,Major,2021-10-13 04:23:43+00:00,Resolved,2.2.2
KAFKA-13370,Minor,2021-10-12 18:14:53+00:00,Patch Available,2.8.0
KAFKA-13367,Major,2021-10-12 08:08:37+00:00,Open,2.5.1
KAFKA-13365,Critical,2021-10-11 20:12:11+00:00,In Progress,
KAFKA-13362,Major,2021-10-11 17:20:19+00:00,Open,2.8.0
KAFKA-13360,Major,2021-10-08 05:20:11+00:00,Open,2.8.0
KAFKA-13359,Minor,2021-10-07 09:58:53+00:00,Open,2.7.0 3.0.0
KAFKA-13358,Critical,2021-10-07 06:34:47+00:00,Open,2.5.0
KAFKA-13354,Minor,2021-10-06 15:30:14+00:00,Open,
KAFKA-13353,Major,2021-10-06 14:29:23+00:00,Open,2.5.0
KAFKA-13352,Trivial,2021-10-06 10:35:02+00:00,In Progress,2.7.1
KAFKA-13347,Minor,2021-10-05 16:28:28+00:00,Open,3.0.0
KAFKA-13346,Major,2021-10-05 11:06:41+00:00,Open,2.6.0
KAFKA-13344,Major,2021-10-04 21:30:28+00:00,Open,2.8.1
KAFKA-13343,Major,2021-10-04 11:05:13+00:00,Open,
KAFKA-13342,Minor,2021-10-04 03:41:48+00:00,Open,
KAFKA-13341,Major,2021-10-04 03:09:02+00:00,Open,
KAFKA-13339,Major,2021-10-02 13:33:48+00:00,Resolved,
KAFKA-13338,Major,2021-10-01 16:01:54+00:00,Open,
