key,priority,created,status,versions
SPARK-37122,Critical,2021-10-26 21:19:33+00:00,Open,3.1.1
SPARK-37121,Major,2021-10-26 17:55:54+00:00,In Progress,3.2.0
SPARK-37119,Critical,2021-10-26 11:56:30+00:00,Open,2.4.8 3.2.0 3.3.0
SPARK-37117,Major,2021-10-26 09:05:11+00:00,Open,3.2.0
SPARK-37116,Minor,2021-10-26 04:56:31+00:00,In Progress,3.3.0
SPARK-37112,Major,2021-10-25 16:22:24+00:00,Resolved,3.3.0
SPARK-37111,Major,2021-10-25 14:48:20+00:00,Open,3.2.0
SPARK-37103,Major,2021-10-23 23:20:50+00:00,Resolved,3.3.0
SPARK-37102,Major,2021-10-23 16:18:48+00:00,In Progress,3.2.0
SPARK-37098,Major,2021-10-22 09:08:02+00:00,Resolved,3.0.3 3.1.2 3.2.0 3.3.0
SPARK-37096,Major,2021-10-22 07:28:04+00:00,Resolved,3.1.1 3.1.2
SPARK-37089,Major,2021-10-21 18:43:38+00:00,Resolved,3.0.3 3.1.2 3.2.0
SPARK-37088,Major,2021-10-21 14:57:44+00:00,Resolved,3.0.3 3.1.2 3.2.0
SPARK-37086,Minor,2021-10-21 14:12:57+00:00,Resolved,3.3.0
SPARK-37082,Major,2021-10-21 06:33:37+00:00,Resolved,3.1.2 3.2.0
SPARK-37079,Major,2021-10-20 23:28:13+00:00,Resolved,3.1.2 3.2.0 3.3.0
SPARK-37078,Critical,2021-10-20 23:09:36+00:00,Resolved,3.2.0
SPARK-37076,Minor,2021-10-20 17:53:54+00:00,Resolved,3.3.0
SPARK-37069,Major,2021-10-20 08:11:47+00:00,Resolved,3.2.0
SPARK-37068,Minor,2021-10-20 04:59:22+00:00,Open,3.2.0
SPARK-37064,Major,2021-10-20 02:11:16+00:00,Resolved,3.2.0 3.3.0
SPARK-37061,Minor,2021-10-19 19:39:13+00:00,Resolved,3.2.0
SPARK-37060,Major,2021-10-19 14:29:47+00:00,In Progress,3.1.0 3.1.1 3.1.2 3.2.0
SPARK-37059,Minor,2021-10-19 12:46:01+00:00,Resolved,3.3.0
SPARK-37057,Minor,2021-10-19 06:52:44+00:00,Resolved,3.2.0 3.3.0
SPARK-37052,Major,2021-10-19 03:37:10+00:00,Resolved,3.2.0
SPARK-37051,Critical,2021-10-19 03:16:28+00:00,Open,3.1.2 3.2.1 3.3.0
SPARK-37049,Major,2021-10-18 23:08:36+00:00,Resolved,3.1.0
SPARK-37046,Major,2021-10-18 17:22:04+00:00,Resolved,3.2.0
SPARK-37039,Major,2021-10-18 06:48:21+00:00,Open,3.3.0
SPARK-37030,Minor,2021-10-17 14:17:33+00:00,Open,3.2.0
SPARK-37026,Major,2021-10-17 02:59:31+00:00,Resolved,3.3.0
SPARK-37024,Major,2021-10-16 12:30:23+00:00,Open,3.2.0
